url,name,block_type
Minecraft ,Minecraft ,0
Playstation Now ,Playstation Now ,0
Steam Desktop Portal ,Steam Desktop Portal ,0
Xbox ,Xbox ,0
Apple Arcade desktop apps,Apple Arcade desktop apps,0
3D Pinball ,3D Pinball ,0
Chess Titans ,Chess Titans ,0
FreeCell ,FreeCell ,0
Hearts ,Hearts ,0
InkBall ,InkBall ,0
Hold 'Em ,Hold 'Em ,0
Purble Place ,Purble Place ,0
Spider Solitaire ,Spider Solitaire ,0
